Date,Temp C
25/2/2011 ,31
26/2/2011 ,31
27/2/2011 ,31
28/2/2011 ,31
1/3/2011,32
2/3/2011,32
3/3/2011,31
4/3/2011,31
5/3/2011,31
6/3/2011,31
7/3/2011,31
8/3/2011,32
9/3/2011,31
10/3/2011,31
11/3/2011,31
12/3/2011,31
13/3/2011 ,32
14/3/2011 ,32
15/3/2011 ,32
16/3/2011 ,33
17/3/2011 ,34
18/3/2011 ,33
19/3/2011 ,32
20/3/2011 ,32
21/3/2011 ,32
22/3/2011 ,31
23/3/2011 ,31
24/3/2011 ,31
25/3/2011 ,32
26/3/2011 ,31
27/3/2011 ,33
28/3/2011 ,31
29/3/2011 ,32
30/3/2011 ,33
31/3/2011 ,32
1/4/2011,32
2/4/2011,32
3/4/2011,32
4/4/2011,32
5/4/2011,32
6/4/2011,32
7/4/2011,32
8/4/2011,31
9/4/2011,31
10/4/2011,32
11/4/2011,31
12/4/2011,29
13/4/2011 ,32
14/4/2011 ,32
15/4/2011 ,32
16/4/2011 ,32
17/4/2011 ,32
18/4/2011 ,32
19/4/2011 ,31
20/4/2011 ,31
21/4/2011 ,32
22/4/2011 ,30
23/4/2011 ,31
24/4/2011 ,30
25/4/2011 ,31
26/4/2011 ,31
27/4/2011 ,33
28/4/2011 ,29
29/4/2011 ,31
30/4/2011 ,31
1/5/2011,30
2/5/2011,29
3/5/2011,30
4/5/2011,31
5/5/2011,31
6/5/2011,31
7/5/2011,31
8/5/2011,31
9/5/2011,31
10/5/2011,31
11/5/2011,31
12/5/2011,31
13/5/2011 ,31
14/5/2011 ,32
15/5/2011 ,31
16/5/2011 ,32
17/5/2011 ,31
18/5/2011 ,32
19/5/2011 ,32
20/5/2011 ,32
21/5/2011 ,31
22/5/2011 ,32
23/5/2011 ,32
24/5/2011 ,32
25/5/2011 ,32
26/5/2011 ,32
27/5/2011 ,30
28/5/2011 ,30
29/5/2011 ,30
30/5/2011 ,29
31/5/2011 ,30
1/6/2011,30
2/6/2011,30
3/6/2011,30
4/6/2011,30
5/6/2011,30
6/6/2011,30
7/6/2011,30
8/6/2011,31
9/6/2011,31
10/6/2011,30
11/6/2011,31
12/6/2011,31
13/6/2011 ,31
14/6/2011 ,30
15/6/2011 ,30
16/6/2011 ,31
17/6/2011 ,30
18/6/2011 ,31
19/6/2011 ,31
20/6/2011 ,31
21/6/2011 ,31
22/6/2011 ,31
23/6/2011 ,31
24/6/2011 ,30
25/6/2011 ,30
26/6/2011 ,30
27/6/2011 ,29
28/6/2011 ,30
29/6/2011 ,30
30/6/2011 ,30
1/7/2011,30
2/7/2011,31
3/7/2011,30
4/7/2011,30
5/7/2011,30
6/7/2011,28
7/7/2011,31
8/7/2011,31
9/7/2011,30
10/7/2011,30
11/7/2011,30
12/7/2011,28
13/7/2011 ,29
14/7/2011 ,29
15/7/2011 ,29
16/7/2011 ,29
17/7/2011 ,30
18/7/2011 ,30
19/7/2011 ,30
20/7/2011 ,30
21/7/2011 ,30
22/7/2011 ,29
23/7/2011 ,29
24/7/2011 ,29
25/7/2011 ,28
26/7/2011 ,29
27/7/2011 ,30
28/7/2011 ,29
29/7/2011 ,29
30/7/2011 ,29
31/7/2011 ,29
1/8/2011,29
2/8/2011,30
3/8/2011,30
4/8/2011,30
5/8/2011,30
6/8/2011,30
7/8/2011,30
8/8/2011,29
9/8/2011,30
10/8/2011,30
11/8/2011,30
12/8/2011,30
13/8/2011 ,30
14/8/2011 ,30
15/8/2011 ,30
16/8/2011 ,30
17/8/2011 ,27
18/8/2011 ,29
19/8/2011 ,30
20/8/2011 ,30
21/8/2011 ,30
22/8/2011 ,30
23/8/2011 ,31
24/8/2011 ,29
25/8/2011 ,30
26/8/2011 ,30
27/8/2011 ,30
28/8/2011 ,30
29/8/2011 ,30
30/8/2011 ,29
31/8/2011 ,30
1/9/2011,31
2/9/2011,30
3/9/2011,30
4/9/2011,31
5/9/2011,31
6/9/2011,30
7/9/2011,31
8/9/2011,30
9/9/2011,31
10/9/2011,29
11/9/2011,30
12/9/2011,28
13/9/2011 ,28
14/9/2011 ,29
15/9/2011 ,29
16/9/2011 ,29
17/9/2011 ,30
18/9/2011 ,30
19/9/2011 ,30
20/9/2011 ,30
21/9/2011 ,29
22/9/2011 ,30
23/9/2011 ,30
24/9/2011 ,30
25/9/2011 ,30
26/9/2011 ,31
27/9/2011 ,31
28/9/2011 ,30
29/9/2011 ,30
30/9/2011 ,31
1/10/2011,31
2/10/2011,31
3/10/2011,31
4/10/2011,31
5/10/2011,31
6/10/2011,31
7/10/2011,31
8/10/2011,31
9/10/2011,31
10/10/2011,30
11/10/2011,30
12/10/2011,30
13/10/2011 ,31
14/10/2011 ,31
15/10/2011 ,31
16/10/2011 ,31
17/10/2011 ,31
18/10/2011 ,32
19/10/2011 ,31
20/10/2011 ,31
21/10/2011 ,31
22/10/2011 ,31
23/10/2011 ,31
24/10/2011 ,31
25/10/2011 ,31
26/10/2011 ,32
27/10/2011 ,31
28/10/2011 ,33
29/10/2011 ,31
30/10/2011 ,32
31/10/2011 ,31
1/11/2011,29
2/11/2011,30
3/11/2011,30
4/11/2011,31
5/11/2011,31
6/11/2011,31
7/11/2011,31
8/11/2011,32
9/11/2011,32
10/11/2011,32
11/11/2011,31
12/11/2011,31
13/11/2011 ,31
14/11/2011 ,31
15/11/2011 ,32
16/11/2011 ,31
17/11/2011 ,31
18/11/2011 ,31
19/11/2011 ,31
20/11/2011 ,32
21/11/2011 ,32
22/11/2011 ,31
23/11/2011 ,32
24/11/2011 ,32
25/11/2011 ,29
26/11/2011 ,29
27/11/2011 ,31
28/11/2011 ,28
29/11/2011 ,30
30/11/2011 ,31
1/12/2011,31
2/12/2011,30
3/12/2011,31
4/12/2011,31
5/12/2011,31
6/12/2011,32
7/12/2011,31
8/12/2011,31
9/12/2011,31
10/12/2011,31
11/12/2011,31
12/12/2011,31
13/12/2011 ,31
14/12/2011 ,31
15/12/2011 ,32
16/12/2011 ,31
17/12/2011 ,32
18/12/2011 ,31
19/12/2011 ,31
20/12/2011 ,27
21/12/2011 ,30
22/12/2011 ,30
23/12/2011 ,28
24/12/2011 ,30
25/12/2011 ,30
26/12/2011 ,28
27/12/2011 ,29
28/12/2011 ,29
29/12/2011 ,29
30/12/2011 ,29
31/12/2011 ,30
1/1/2012,30
2/1/2012,31
3/1/2012,31
4/1/2012,31
5/1/2012,31
6/1/2012,31
7/1/2012,30
8/1/2012,30
9/1/2012,30
10/1/2012,30
11/1/2012,30
12/1/2012,31
13/1/2012 ,32
14/1/2012 ,32
15/1/2012 ,30
16/1/2012 ,30
17/1/2012 ,30
18/1/2012 ,29
19/1/2012 ,29
20/1/2012 ,29
21/1/2012 ,30
22/1/2012 ,30
23/1/2012 ,31
24/1/2012 ,30
25/1/2012 ,30
26/1/2012 ,31
27/1/2012 ,31
28/1/2012 ,31
29/1/2012 ,31
30/1/2012 ,31
31/1/2012 ,31
1/2/2012,32
2/2/2012,32
3/2/2012,32
4/2/2012,32
5/2/2012,31
6/2/2012,31
7/2/2012,31
8/2/2012,30
9/2/2012,31
10/2/2012,31
11/2/2012,32
12/2/2012,32
13/2/2012 ,32
14/2/2012 ,31
15/2/2012 ,29
16/2/2012 ,31
17/2/2012 ,30
18/2/2012 ,32
19/2/2012 ,32
20/2/2012 ,32
21/2/2012 ,32
22/2/2012 ,32
23/2/2012 ,31
24/2/2012 ,31
25/2/2012 ,33
26/2/2012 ,31
27/2/2012 ,31
28/2/2012 ,31
29/2/2012 ,31
1/3/2012,32
2/3/2012,32
3/3/2012,31
4/3/2012,31
5/3/2012,31
6/3/2012,30
7/3/2012,30
8/3/2012,30
9/3/2012,31
10/3/2012,32
11/3/2012,30
12/3/2012,31
13/3/2012 ,32
14/3/2012 ,32
15/3/2012 ,31
16/3/2012 ,31
17/3/2012 ,31
18/3/2012 ,31
19/3/2012 ,31
20/3/2012 ,31
21/3/2012 ,31
22/3/2012 ,31
23/3/2012 ,31
24/3/2012 ,32
25/3/2012 ,32
26/3/2012 ,31
27/3/2012 ,32
28/3/2012 ,32
29/3/2012 ,32
30/3/2012 ,31
31/3/2012 ,32
1/4/2012,32
2/4/2012,32
